state,district,date,population,income_mean,income_median
Johor,Batu Pahat,2022-01-01,1497.5,7419.0,6347.0
Johor,Johor Bahru,2022-01-01,2723.7,9869.0,8232.0
Johor,Kluang,2022-01-01,1323.5,6461.0,5204.0
Johor,Kota Tinggi,2022-01-01,1224.9,7529.0,6227.0
Johor,Kulai,2022-01-01,1329.2,9177.0,7460.0
Johor,Mersing,2022-01-01,1079.1,5426.0,4445.0
Johor,Muar,2022-01-01,1314.0,7572.0,5724.0
Johor,Pontian,2022-01-01,1173.6,6913.0,5616.0
Johor,Segamat,2022-01-01,1198.2,6578.0,5318.0
Johor,Tangkak,2022-01-01,1164.6,7093.0,5622.0
Kedah,Baling,2022-01-01,1144.9,4263.0,3400.0
Kedah,Bandar Baharu,2022-01-01,1044.7,4565.0,3922.0
Kedah,Kota Setar,2022-01-01,1376.8,5959.0,4751.0
Kedah,Kuala Muda,2022-01-01,1550.5,5624.0,4200.0
Kedah,Kubang Pasu,2022-01-01,1249.7,6221.0,5201.0
Kedah,Kulim,2022-01-01,1341.3,5636.0,4498.0
Kedah,Langkawi,2022-01-01,1096.4,6087.0,5250.0
Kedah,Padang Terap,2022-01-01,1066.5,4858.0,3902.0
Kedah,Pendang,2022-01-01,1099.8,4986.0,3801.0
Kedah,Pokok Sena,2022-01-01,1050.0,5494.0,4668.0
Kedah,Sik,2022-01-01,1068.6,5053.0,3703.0
Kedah,Yan,2022-01-01,1073.8,4637.0,4080.0
Kelantan,Bachok,2022-01-01,1160.7,4811.0,3625.0
Kelantan,Gua Musang,2022-01-01,1104.0,4473.0,3342.0
Kelantan,Jeli,2022-01-01,1056.1,3735.0,2906.0
Kelantan,Kecil Lojing,2022-01-01,1010.8,3153.0,2630.0
Kelantan,Kota Bharu,2022-01-01,1567.5,5693.0,4330.0
Kelantan,Kuala Krai,2022-01-01,1107.1,3798.0,2763.0
Kelantan,Machang,2022-01-01,1113.9,4987.0,3429.0
Kelantan,Pasir Mas,2022-01-01,1234.2,4602.0,3508.0
Kelantan,Pasir Puteh,2022-01-01,1138.9,4712.0,3453.0
Kelantan,Tanah Merah,2022-01-01,1153.7,4177.0,2991.0
Kelantan,Tumpat,2022-01-01,1183.7,4741.0,3749.0
Melaka,Alor Gajah,2022-01-01,1251.8,7235.0,5611.0
Melaka,Jasin,2022-01-01,1153.9,7145.0,5895.0
Melaka,Melaka Tengah,2022-01-01,1602.8,8593.0,6557.0
Negeri Sembilan,Jelebu,2022-01-01,1046.3,4445.0,3636.0
Negeri Sembilan,Jempol,2022-01-01,1127.6,4848.0,3830.0
Negeri Sembilan,Kuala Pilah,2022-01-01,1070.4,4509.0,3471.0
Negeri Sembilan,Port Dickson,2022-01-01,1130.1,6054.0,4805.0
Negeri Sembilan,Rembau,2022-01-01,1047.8,5544.0,4655.0
Negeri Sembilan,Seremban,2022-01-01,1696.9,7900.0,6384.0
Negeri Sembilan,Tampin,2022-01-01,1088.8,5097.0,4012.0
Pahang,Bentong,2022-01-01,1116.7,5563.0,4691.0
Pahang,Bera,2022-01-01,1098.9,4567.0,3866.0
Pahang,Cameron Highland,2022-01-01,1039.2,6576.0,5729.0
Pahang,Jerantut,2022-01-01,1097.0,4537.0,3781.0
Pahang,Kuantan,2022-01-01,1557.9,6938.0,5926.0
Pahang,Lipis,2022-01-01,1097.9,4959.0,4115.0
Pahang,Maran,2022-01-01,1114.7,5036.0,4319.0
Pahang,Pekan,2022-01-01,1123.5,4780.0,4053.0
Pahang,Raub,2022-01-01,1096.8,5445.0,4375.0
Pahang,Rompin,2022-01-01,1100.4,5103.0,4148.0
Pahang,Temerloh,2022-01-01,1171.4,5180.0,4283.0
Perak,Bagan Datuk,2022-01-01,1082.3,5160.0,4076.0
Perak,Batang Padang,2022-01-01,1125.7,5178.0,3953.0
Perak,Hilir Perak,2022-01-01,1142.3,5203.0,4199.0
Perak,Hulu Perak,2022-01-01,1095.9,4891.0,3467.0
Perak,Kampar,2022-01-01,1098.2,5087.0,4347.0
Perak,Kerian,2022-01-01,1167.5,5276.0,3996.0
Perak,Kinta,2022-01-01,1895.8,6308.0,5037.0
Perak,Kuala Kangsar,2022-01-01,1176.7,5176.0,3813.0
Perak,Larut Dan Matang,2022-01-01,1272.6,5364.0,4345.0
Perak,Manjung,2022-01-01,1249.6,6318.0,5135.0
Perak,Muallim,2022-01-01,1078.0,6122.0,5015.0
Perak,Perak Tengah,2022-01-01,1095.6,5956.0,4564.0
Perak,Selama,2022-01-01,1034.5,4439.0,3673.0
Perlis,Perlis,2022-01-01,1289.8,5664.0,4713.0
Pulau Pinang,Barat Daya,2022-01-01,1239.6,9254.0,7247.0
Pulau Pinang,Sp Selatan,2022-01-01,1185.5,6843.0,5797.0
Pulau Pinang,Sp Tengah,2022-01-01,1422.8,7457.0,5849.0
Pulau Pinang,Sp Utara,2022-01-01,1341.3,6914.0,5566.0
Pulau Pinang,Timur Laut,2022-01-01,1551.8,8727.0,6714.0
Sabah,Beaufort,2022-01-01,1076.1,4902.0,4018.0
Sabah,Beluran,2022-01-01,1076.3,4501.0,3131.0
Sabah,Kalabakan,2022-01-01,1046.6,4938.0,3931.0
Sabah,Keningau,2022-01-01,1153.2,5979.0,4502.0
Sabah,Kinabatangan,2022-01-01,1138.1,5543.0,4162.0
Sabah,Kota Belud,2022-01-01,1108.3,4949.0,3429.0
Sabah,Kota Kinabalu,2022-01-01,1500.8,8388.0,5957.0
Sabah,Kota Marudu,2022-01-01,1071.1,4031.0,2677.0
Sabah,Kuala Penyu,2022-01-01,1023.7,4311.0,3487.0
Sabah,Kudat,2022-01-01,1087.3,4049.0,2994.0
Sabah,Kunak,2022-01-01,1067.8,5838.0,4480.0
Sabah,Lahad Datu,2022-01-01,1226.9,5995.0,4457.0
Sabah,Nabawan,2022-01-01,1029.2,5016.0,4110.0
